metaanalysisid,Descr,Value
153,-2 Log Likelihood,115.6
153,AIC (smaller is better),127.6
153,AICC (smaller is better),155.6
153,BIC (smaller is better),129.4
154,-2 Log Likelihood,192.1
154,AIC (smaller is better),204.1
154,AICC (smaller is better),232.1
154,BIC (smaller is better),205.9
155,-2 Log Likelihood,206.2
155,AIC (smaller is better),218.2
155,AICC (smaller is better),246.2
155,BIC (smaller is better),220.0
156,-2 Log Likelihood,234.8
156,AIC (smaller is better),246.8
156,AICC (smaller is better),274.8
156,BIC (smaller is better),248.6
157,-2 Log Likelihood,218.5
157,AIC (smaller is better),230.5
157,AICC (smaller is better),258.5
157,BIC (smaller is better),232.4
158,-2 Log Likelihood,172.1
158,AIC (smaller is better),184.1
158,AICC (smaller is better),212.1
158,BIC (smaller is better),185.9
159,-2 Log Likelihood,163.5
159,AIC (smaller is better),175.5
159,AICC (smaller is better),203.5
159,BIC (smaller is better),177.4
160,-2 Log Likelihood,98.7
160,AIC (smaller is better),110.7
160,AICC (smaller is better),138.7
160,BIC (smaller is better),112.5
161,-2 Log Likelihood,245.0
161,AIC (smaller is better),257.0
161,AICC (smaller is better),285.0
161,BIC (smaller is better),258.8
162,-2 Log Likelihood,179.7
162,AIC (smaller is better),191.7
162,AICC (smaller is better),219.7
162,BIC (smaller is better),193.5
163,-2 Log Likelihood,173.2
163,AIC (smaller is better),185.2
163,AICC (smaller is better),213.2
163,BIC (smaller is better),187.1
164,-2 Log Likelihood,175.7
164,AIC (smaller is better),187.7
164,AICC (smaller is better),215.7
164,BIC (smaller is better),189.5
165,-2 Log Likelihood,157.7
165,AIC (smaller is better),169.7
165,AICC (smaller is better),197.7
165,BIC (smaller is better),171.5
166,-2 Log Likelihood,258.3
166,AIC (smaller is better),270.3
166,AICC (smaller is better),298.3
166,BIC (smaller is better),272.1
167,-2 Log Likelihood,256.9
167,AIC (smaller is better),268.9
167,AICC (smaller is better),296.9
167,BIC (smaller is better),270.7
169,-2 Log Likelihood,248.9
169,AIC (smaller is better),260.9
169,AICC (smaller is better),288.9
169,BIC (smaller is better),262.8
170,-2 Log Likelihood,238.4
170,AIC (smaller is better),250.4
170,AICC (smaller is better),278.4
170,BIC (smaller is better),252.2
171,-2 Log Likelihood,138.0
171,AIC (smaller is better),150.0
171,AICC (smaller is better),178.0
171,BIC (smaller is better),151.9
172,-2 Log Likelihood,124.4
172,AIC (smaller is better),136.4
172,AICC (smaller is better),164.4
172,BIC (smaller is better),138.2
173,-2 Log Likelihood,187.4
173,AIC (smaller is better),199.4
173,AICC (smaller is better),227.4
173,BIC (smaller is better),201.2
174,-2 Log Likelihood,128.7
174,AIC (smaller is better),140.7
174,AICC (smaller is better),168.7
174,BIC (smaller is better),142.5
175,-2 Log Likelihood,195.2
175,AIC (smaller is better),207.2
175,AICC (smaller is better),235.2
175,BIC (smaller is better),209.0
176,-2 Log Likelihood,150.9
176,AIC (smaller is better),162.9
176,AICC (smaller is better),190.9
176,BIC (smaller is better),164.7
177,-2 Log Likelihood,218.3
177,AIC (smaller is better),230.3
177,AICC (smaller is better),258.3
177,BIC (smaller is better),232.1
178,-2 Log Likelihood,216.0
178,AIC (smaller is better),228.0
178,AICC (smaller is better),256.0
178,BIC (smaller is better),229.8
179,-2 Log Likelihood,198.2
179,AIC (smaller is better),210.2
179,AICC (smaller is better),238.2
179,BIC (smaller is better),212.1
180,-2 Log Likelihood,169.2
180,AIC (smaller is better),181.2
180,AICC (smaller is better),209.2
180,BIC (smaller is better),183.0
181,-2 Log Likelihood,173.3
181,AIC (smaller is better),185.3
181,AICC (smaller is better),213.3
181,BIC (smaller is better),187.1
183,-2 Log Likelihood,232.5
183,AIC (smaller is better),244.5
183,AICC (smaller is better),272.5
183,BIC (smaller is better),246.4
184,-2 Log Likelihood,137.8
184,AIC (smaller is better),149.8
184,AICC (smaller is better),177.8
184,BIC (smaller is better),151.6
185,-2 Log Likelihood,232E75
185,AIC (smaller is better),232E75
185,AICC (smaller is better),232E75
185,BIC (smaller is better),232E75
187,-2 Log Likelihood,88.6
187,AIC (smaller is better),100.6
187,AICC (smaller is better),128.6
187,BIC (smaller is better),102.4
188,-2 Log Likelihood,173.9
188,AIC (smaller is better),185.9
188,AICC (smaller is better),213.9
188,BIC (smaller is better),187.8
189,-2 Log Likelihood,228.5
189,AIC (smaller is better),240.5
189,AICC (smaller is better),268.5
189,BIC (smaller is better),242.3
190,-2 Log Likelihood,176.9
190,AIC (smaller is better),188.9
190,AICC (smaller is better),216.9
190,BIC (smaller is better),190.7
191,-2 Log Likelihood,180.4
191,AIC (smaller is better),192.4
191,AICC (smaller is better),220.4
191,BIC (smaller is better),194.2
194,-2 Log Likelihood,159.8
194,AIC (smaller is better),171.8
