metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
2279,beta2,-1.6388,0,1000,I,<.0001,0.05,M,I,0
2279,sig2,6.95E83,0,1000,I,<.0001,0.05,M,I,0
2279,fz,1.76E83,0,1000,I,<.0001,0.05,M,I,0
2292,logitpi,-7.0171,0,1000,I,<.0001,0.05,M,I,0.004001
2292,beta1,-5.0167,0,1000,I,<.0001,0.05,M,I,-1.87431
2292,sig1,-0.08616,,1000,,,0.05,,,0.83959
2292,beta2,-4.1267,,1000,,,0.05,,,5.50363
2292,sig2,-0.9190,0,1000,I,<.0001,0.05,M,I,0.97764
2292,fz,6.2977,0,1000,I,<.0001,0.05,M,I,5.168E-6
2328,logitpi,-15.8226,,1000,,,0.05,,,1.344E-6
2328,beta1,-4.1072,0.3568,1000,-11.51,<.0001,0.05,-4.8073,-3.4071,-0.00004
2328,sig1,-0.3553,0.5426,1000,-0.65,0.5127,0.05,-1.4200,0.7094,0.000217
2328,beta2,-5.9746,0.6262,1000,-9.54,<.0001,0.05,-7.2034,-4.7459,-0.00047
2328,sig2,-0.1257,0.4427,1000,-0.28,0.7765,0.05,-0.9944,0.7430,-0.00029
2328,fz,5.7346,11.2593,1000,0.51,0.6106,0.05,-16.3600,27.8292,-3.95E-6
2342,logitpi,-7.9199,0,1000,I,<.0001,0.05,M,I,-1.07E81
2342,beta1,-5.6591,0,1000,I,<.0001,0.05,M,I,1.436E81
2342,sig1,0.1420,0,1000,I,<.0001,0.05,M,I,0
2342,beta2,-5.0520,0,1000,I,<.0001,0.05,M,I,-1.58E81
2342,sig2,-0.06415,0,1000,I,<.0001,0.05,M,I,8.985E81
2342,fz,7.0434,0,1000,I,<.0001,0.05,M,I,1.189E81
2343,logitpi,-11.9284,,1000,,,0.05,,,0.000014
2343,beta1,-3.8023,0.2895,1000,-13.13,<.0001,0.05,-4.3704,-3.2342,-0.00585
2343,sig1,-0.2492,0.3230,1000,-0.77,0.4406,0.05,-0.8829,0.3846,-0.00496
2343,beta2,-6.6228,0.8844,1000,-7.49,<.0001,0.05,-8.3582,-4.8873,-0.00272
2343,sig2,-0.8482,2.7688,1000,-0.31,0.7594,0.05,-6.2816,4.5852,-0.00056
2343,fz,-5.7697,,1000,,,0.05,,,3.267E-6
2370,logitpi,-7.3123,,1000,,,0.05,,,0.003444
2370,beta1,-4.6431,0.5910,1000,-7.86,<.0001,0.05,-5.8028,-3.4834,1.74577
2370,sig1,0.3743,0.5553,1000,0.67,0.5004,0.05,-0.7154,1.4641,4.10203
2370,beta2,-4.7059,0.3683,1000,-12.78,<.0001,0.05,-5.4287,-3.9831,-1.81014
2370,sig2,-1.1398,1.5795,1000,-0.72,0.4707,0.05,-4.2394,1.9598,0.10814
2370,fz,6.1369,18.0451,1000,0.34,0.7339,0.05,-29.2737,41.5475,3.375E-7
2467,logitpi,-0.5070,0.5815,1000,-0.87,0.3835,0.05,-1.6481,0.6341,-0.00012
2467,beta1,-2.3596,0.3244,1000,-7.27,<.0001,0.05,-2.9962,-1.7231,-0.00008
2467,sig1,-0.1784,0.2939,1000,-0.61,0.5439,0.05,-0.7550,0.3982,0.000113
2467,beta2,-1.9822,0.1395,1000,-14.21,<.0001,0.05,-2.2560,-1.7083,-0.00038
2467,sig2,-1.6582,0.7240,1000,-2.29,0.0222,0.05,-3.0789,-0.2375,-0.00010
2467,fz,5.0536,17.9144,1000,0.28,0.7779,0.05,-30.1005,40.2078,-0.00002
2470,logitpi,-2.1015,1.0004,1000,-2.10,0.0359,0.05,-4.0645,-0.1384,-0.00016
2470,beta1,-2.4539,0.1718,1000,-14.29,<.0001,0.05,-2.7910,-2.1169,-0.00038
2470,sig1,-0.8601,0.3112,1000,-2.76,0.0058,0.05,-1.4709,-0.2494,0.000049
2470,beta2,-2.9989,0.2642,1000,-11.35,<.0001,0.05,-3.5173,-2.4804,0.000169
2470,sig2,-0.5535,0.4111,1000,-1.35,0.1785,0.05,-1.3602,0.2532,0.000033
2470,fz,0.7364,0.6633,1000,1.11,0.2672,0.05,-0.5652,2.0380,-0.00010
2479,logitpi,-0.5070,0.5815,1000,-0.87,0.3835,0.05,-1.6481,0.6341,-0.00012
2479,beta1,-2.3596,0.3244,1000,-7.27,<.0001,0.05,-2.9962,-1.7231,-0.00008
2479,sig1,-0.1784,0.2939,1000,-0.61,0.5439,0.05,-0.7550,0.3982,0.000113
2479,beta2,-1.9822,0.1395,1000,-14.21,<.0001,0.05,-2.2560,-1.7083,-0.00038
2479,sig2,-1.6582,0.7240,1000,-2.29,0.0222,0.05,-3.0789,-0.2375,-0.00010
2479,fz,5.0536,17.9144,1000,0.28,0.7779,0.05,-30.1005,40.2078,-0.00002
3023,logitpi,-11.2766,90.1691,1000,-0.13,0.9005,0.05,-188.22,165.67,0.000085
3023,beta1,-2.7951,0.4855,1000,-5.76,<.0001,0.05,-3.7477,-1.8425,-0.00107
3023,sig1,0.4034,0.2718,1000,1.48,0.1380,0.05,-0.1299,0.9367,-0.00219
3023,beta2,-2.7255,0.5263,1000,-5.18,<.0001,0.05,-3.7582,-1.6927,0.000772
3023,sig2,0.4611,0.2872,1000,1.61,0.1086,0.05,-0.1024,1.0246,0.001603
3023,fz,2.2353,0.9482,1000,2.36,0.0186,0.05,0.3745,4.0961,0.000809
3217,logitpi,-1.7641,,,,,,,,2756451
3217,beta1,-1.3928,,,,,,,,3689048
3217,sig1,0.1084,,,,,,,,-5116607
3217,beta2,-1.5458,,,,,,,,2706185
3217,sig2,-0.07916,,,,,,,,-2750543
3217,fz,2.1080,,,,,,,,-98534.4
3223,logitpi,-11.5417,,1000,,,0.05,,,0.000042
3223,beta1,-4.3084,0.2400,1000,-17.95,<.0001,0.05,-4.7793,-3.8375,-0.00077
3223,sig1,-0.5156,0.3956,1000,-1.30,0.1927,0.05,-1.2920,0.2607,-0.00025
3223,beta2,-4.4874,0.3359,1000,-13.36,<.0001,0.05,-5.1464,-3.8283,-0.00041
3223,sig2,-0.2013,0.4011,1000,-0.50,0.6159,0.05,-0.9883,0.5857,0.000342
3223,fz,6.1345,5.6882,1000,1.08,0.2811,0.05,-5.0276,17.2967,-0.00021
3596,logitpi,-11.8861,51.3997,1000,-0.23,0.8172,0.05,-112.75,88.9775,0.000018
3596,beta1,-3.1286,0.1828,1000,-17.11,<.0001,0.05,-3.4874,-2.7698,0.000031
3596,sig1,-0.4784,0.2659,1000,-1.80,0.0723,0.05,-1.0002,0.04331,-0.00150
3596,beta2,-4.5509,0.1920,1000,-23.70,<.0001,0.05,-4.9277,-4.1742,0.000481
3596,sig2,-2.0943,1.1279,1000,-1.86,0.0636,0.05,-4.3075,0.1190,0.000385
3596,fz,5.7664,,1000,,,0.05,,,-5.78E-6
3614,logitpi,-2.2644,0,1000,I,<.0001,0.05,M,I,0.072467
3614,beta1,-3.1255,0,1000,I,<.0001,0.05,M,I,0.060111
3614,sig1,-4.0212,0,1000,I,<.0001,0.05,M,I,-0.02755
3614,beta2,-5.5842,,1000,,,0.05,,,0.029160
3614,sig2,0.5237,0,1000,I,<.0001,0.05,M,I,0.23087
3614,fz,-6.3877,0,1000,I,<.0001,0.05,M,I,1.511E-6
3809,logitpi,-1.3869,0.7936,1000,-1.75,0.0808,0.05,-2.9442,0.1703,-0.00001
3809,beta1,-2.1842,0.2731,1000,-8.00,<.0001,0.05,-2.7202,-1.6482,-0.00010
3809,sig1,-0.7440,0.5356,1000,-1.39,0.1651,0.05,-1.7950,0.3070,-0.00012
3809,beta2,-2.0077,0.2250,1000,-8.92,<.0001,0.05,-2.4493,-1.5662,-0.00019
3809,sig2,-1.1659,0.6916,1000,-1.69,0.0922,0.05,-2.5231,0.1913,0.000173
3809,fz,5.3252,12.8202,1000,0.42,0.6780,0.05,-19.8325,30.4828,-0.00017
3959,logitpi,-1.3618,0.8330,1000,-1.63,0.1024,0.05,-2.9964,0.2728,-0.00501
3959,beta1,-2.9549,0.3367,1000,-8.78,<.0001,0.05,-3.6156,-2.2942,-0.01087
3959,sig1,-0.4047,0.4187,1000,-0.97,0.3340,0.05,-1.2264,0.4169,-0.00260
3959,beta2,-2.8618,0.2439,1000,-11.73,<.0001,0.05,-3.3403,-2.3832,0.006554
