metaanalysisid,Descr,Value
16115,-2 Log Likelihood,416.1
16115,AIC (smaller is better),428.1
16115,AICC (smaller is better),456.1
16115,BIC (smaller is better),429.9
16116,-2 Log Likelihood,508.1
16116,AIC (smaller is better),520.1
16116,AICC (smaller is better),536.9
16116,BIC (smaller is better),523.0
16117,-2 Log Likelihood,687.7
16117,AIC (smaller is better),699.7
16117,AICC (smaller is better),710.2
16117,BIC (smaller is better),704.0
16118,-2 Log Likelihood,552.4
16118,AIC (smaller is better),564.4
16118,AICC (smaller is better),581.2
16118,BIC (smaller is better),567.3
16119,-2 Log Likelihood,684.8
16119,AIC (smaller is better),696.8
16119,AICC (smaller is better),707.3
16119,BIC (smaller is better),701.0
16319,-2 Log Likelihood,197.6
16319,AIC (smaller is better),209.6
16319,AICC (smaller is better),230.6
16319,BIC (smaller is better),212.0
17045,-2 Log Likelihood,232E75
17045,AIC (smaller is better),232E75
17045,AICC (smaller is better),232E75
17045,BIC (smaller is better),232E75
17102,-2 Log Likelihood,2792.2
17102,AIC (smaller is better),2804.2
17102,AICC (smaller is better),2808.2
17102,BIC (smaller is better),2812.2
17107,-2 Log Likelihood,1676.3
17107,AIC (smaller is better),1688.3
17107,AICC (smaller is better),1697.6
17107,BIC (smaller is better),1692.9
17110,-2 Log Likelihood,7288.9
17110,AIC (smaller is better),7300.9
17110,AICC (smaller is better),7303.3
17110,BIC (smaller is better),7311.3
17143,-2 Log Likelihood,1358.2
17143,AIC (smaller is better),1370.2
17143,AICC (smaller is better),1391.2
17143,BIC (smaller is better),1372.5
17152,-2 Log Likelihood,1905.2
17152,AIC (smaller is better),1917.2
17152,AICC (smaller is better),1921.2
17152,BIC (smaller is better),1925.2
17156,-2 Log Likelihood,2285.7
17156,AIC (smaller is better),2297.7
17156,AICC (smaller is better),2302.2
17156,BIC (smaller is better),2305.3
17160,-2 Log Likelihood,2101.1
17160,AIC (smaller is better),2113.1
17160,AICC (smaller is better),2117.3
17160,BIC (smaller is better),2120.9
17183,-2 Log Likelihood,232E75
17183,AIC (smaller is better),232E75
17183,AICC (smaller is better),232E75
17183,BIC (smaller is better),232E75
17495,-2 Log Likelihood,1420.4
17495,AIC (smaller is better),1432.4
17495,AICC (smaller is better),1446.4
17495,BIC (smaller is better),1435.8
17768,-2 Log Likelihood,1788.5
17768,AIC (smaller is better),1800.5
17768,AICC (smaller is better),1805.0
17768,BIC (smaller is better),1808.1
17842,-2 Log Likelihood,170.4
17842,AIC (smaller is better),182.4
17842,AICC (smaller is better),203.4
17842,BIC (smaller is better),184.8
17850,-2 Log Likelihood,359.5
17850,AIC (smaller is better),371.5
17850,AICC (smaller is better),379.2
17850,BIC (smaller is better),376.9
17851,-2 Log Likelihood,597.3
17851,AIC (smaller is better),609.3
17851,AICC (smaller is better),614.9
17851,BIC (smaller is better),615.8
17925,-2 Log Likelihood,436.9
17925,AIC (smaller is better),448.9
17925,AICC (smaller is better),469.9
17925,BIC (smaller is better),451.3
