metaanalysisid,Descr,Value
115,BIC (smaller is better),122.2
116,-2 Log Likelihood,180.4
116,AIC (smaller is better),190.4
116,AICC (smaller is better),205.4
116,BIC (smaller is better),192.0
117,-2 Log Likelihood,232.8
117,AIC (smaller is better),242.8
117,AICC (smaller is better),257.8
117,BIC (smaller is better),244.3
118,-2 Log Likelihood,138.0
118,AIC (smaller is better),148.0
118,AICC (smaller is better),163.0
118,BIC (smaller is better),149.5
119,-2 Log Likelihood,204.6
119,AIC (smaller is better),214.6
119,AICC (smaller is better),229.6
119,BIC (smaller is better),216.1
120,-2 Log Likelihood,127.0
120,AIC (smaller is better),137.0
120,AICC (smaller is better),152.0
120,BIC (smaller is better),138.5
121,-2 Log Likelihood,144.6
121,AIC (smaller is better),154.6
121,AICC (smaller is better),169.6
121,BIC (smaller is better),156.1
122,-2 Log Likelihood,242.5
122,AIC (smaller is better),252.5
122,AICC (smaller is better),267.5
122,BIC (smaller is better),254.0
123,-2 Log Likelihood,220.3
123,AIC (smaller is better),230.3
123,AICC (smaller is better),245.3
123,BIC (smaller is better),231.9
124,-2 Log Likelihood,194.5
124,AIC (smaller is better),204.5
124,AICC (smaller is better),219.5
124,BIC (smaller is better),206.0
125,-2 Log Likelihood,193.7
125,AIC (smaller is better),203.7
125,AICC (smaller is better),218.7
125,BIC (smaller is better),205.2
126,-2 Log Likelihood,101.1
126,AIC (smaller is better),111.1
126,AICC (smaller is better),126.1
126,BIC (smaller is better),112.6
127,-2 Log Likelihood,92.5
127,AIC (smaller is better),102.5
127,AICC (smaller is better),117.5
127,BIC (smaller is better),104.0
128,-2 Log Likelihood,323.7
128,AIC (smaller is better),333.7
128,AICC (smaller is better),348.7
128,BIC (smaller is better),335.2
129,-2 Log Likelihood,261.4
129,AIC (smaller is better),271.4
129,AICC (smaller is better),286.4
129,BIC (smaller is better),272.9
130,-2 Log Likelihood,287.9
130,AIC (smaller is better),297.9
130,AICC (smaller is better),312.9
130,BIC (smaller is better),299.4
131,-2 Log Likelihood,187.0
131,AIC (smaller is better),197.0
131,AICC (smaller is better),212.0
131,BIC (smaller is better),198.6
132,-2 Log Likelihood,126.0
132,AIC (smaller is better),136.0
132,AICC (smaller is better),151.0
132,BIC (smaller is better),137.5
133,-2 Log Likelihood,282.5
133,AIC (smaller is better),292.5
133,AICC (smaller is better),307.5
133,BIC (smaller is better),294.0
134,-2 Log Likelihood,209.6
134,AIC (smaller is better),219.6
134,AICC (smaller is better),234.6
134,BIC (smaller is better),221.1
135,-2 Log Likelihood,225.0
135,AIC (smaller is better),235.0
135,AICC (smaller is better),250.0
135,BIC (smaller is better),236.5
136,-2 Log Likelihood,170.0
136,AIC (smaller is better),180.0
136,AICC (smaller is better),195.0
136,BIC (smaller is better),181.5
137,-2 Log Likelihood,252.6
137,AIC (smaller is better),262.6
137,AICC (smaller is better),277.6
137,BIC (smaller is better),264.1
138,-2 Log Likelihood,197.9
138,AIC (smaller is better),207.9
138,AICC (smaller is better),222.9
138,BIC (smaller is better),209.4
139,-2 Log Likelihood,268.2
139,AIC (smaller is better),278.2
139,AICC (smaller is better),293.2
