metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
4151,sig1,-0.06039,0.3753,1000,-0.16,0.8722,0.05,-0.7968,0.6760,-0.00014
4151,beta2,-4.6947,0.5507,1000,-8.52,<.0001,0.05,-5.7754,-3.6140,-0.00013
4151,sig2,-0.07590,0.5397,1000,-0.14,0.8882,0.05,-1.1350,0.9832,6.437E-6
4151,fz,1.2558,1.4006,1000,0.90,0.3701,0.05,-1.4927,4.0043,-0.00016
4154,beta1,-3.8158,0.4271,1000,-8.93,<.0001,0.05,-4.6539,-2.9777,0.000069
4154,sig1,0.02273,0.3809,1000,0.06,0.9524,0.05,-0.7247,0.7701,0.000062
4154,beta2,-4.5787,0.5340,1000,-8.57,<.0001,0.05,-5.6267,-3.5308,0.000077
4154,sig2,-0.1306,0.5679,1000,-0.23,0.8182,0.05,-1.2450,0.9838,-0.00005
4154,fz,1.3673,1.6566,1000,0.83,0.4093,0.05,-1.8834,4.6181,0.000038
4586,beta1,-2.0419,0.2947,1000,-6.93,<.0001,0.05,-2.6201,-1.4637,-0.09031
4586,sig1,0.2184,0,1000,I,<.0001,0.05,M,I,-0.14115
4586,beta2,-2.2403,0.2851,1000,-7.86,<.0001,0.05,-2.7997,-1.6809,0.058010
4586,sig2,0.2224,,1000,,,0.05,,,0.084001
4586,fz,6.3683,,1000,,,0.05,,,-0.00100
4994,beta1,-2.6639,0.3049,1000,-8.74,<.0001,0.05,-3.2623,-2.0655,0.001498
4994,sig1,-0.02253,0.2751,1000,-0.08,0.9347,0.05,-0.5624,0.5174,-0.00001
4994,beta2,-2.1875,0.2911,1000,-7.51,<.0001,0.05,-2.7588,-1.6162,-0.00167
4994,sig2,-0.00623,0.2577,1000,-0.02,0.9807,0.05,-0.5120,0.4995,-0.00081
4994,fz,6.3128,5.2086,1000,1.21,0.2258,0.05,-3.9083,16.5339,-0.00012
5654,beta1,-3.3544,0.4225,1000,-7.94,<.0001,0.05,-4.1836,-2.5253,-0.00255
5654,sig1,-0.1086,0.4175,1000,-0.26,0.7948,0.05,-0.9279,0.7107,-0.00248
5654,beta2,-3.7348,0.2402,1000,-15.55,<.0001,0.05,-4.2061,-3.2635,0.011802
5654,sig2,-2.6136,2.4157,1000,-1.08,0.2796,0.05,-7.3541,2.1269,0.000298
5654,fz,6.1599,10.4678,1000,0.59,0.5564,0.05,-14.3814,26.7013,-1.33E-6
5805,beta1,-1.9734,0,1000,I,<.0001,0.05,M,I,-4.48544
5805,sig1,0.2358,,1000,,,0.05,,,-3.43309
5805,beta2,-1.2415,,1000,,,0.05,,,5.02123
5805,sig2,0.5806,,1000,,,0.05,,,6.049E81
5805,fz,6.7372,,1000,,,0.05,,,-0.00008
5823,beta1,-2.1691,0.3881,1000,-5.59,<.0001,0.05,-2.9306,-1.4075,-0.00007
5823,sig1,0.03853,0.3283,1000,0.12,0.9066,0.05,-0.6057,0.6828,0.000105
5823,beta2,-2.4356,0.5635,1000,-4.32,<.0001,0.05,-3.5414,-1.3298,-0.00011
5823,sig2,0.4663,0.3085,1000,1.51,0.1310,0.05,-0.1390,1.0716,-0.00013
5823,fz,1.1280,0.4389,1000,2.57,0.0103,0.05,0.2668,1.9893,0.000075
6094,beta1,-6.1216,,1000,,,0.05,,,0
6094,sig1,-1.4313,,1000,,,0.05,,,-0.55780
6094,beta2,-5.6046,0,1000,I,<.0001,0.05,M,I,1.448E81
6094,sig2,1.1718,,1000,,,0.05,,,3.89277
6094,fz,6.8166,,1000,,,0.05,,,0
6265,beta1,-9.9539,,1000,,,0.05,,,0.50546
6265,sig1,2.9247,0.6613,1000,4.42,<.0001,0.05,1.6270,4.2224,7.85538
6265,beta2,-11.1029,,1000,,,0.05,,,-0.37991
6265,sig2,2.7955,,1000,,,0.05,,,0.78900
